county,tier
Alleghany,1
Anson,1
Ashe,1
Beaufort,1
Bertie,1
Bladen,1
Caldwell,1
Camden,1
Caswell,1
Cherokee,1
Chowan,1
Clay,1
Columbus,1
Edgecombe,1
Gates,1
Graham,1
Greene,1
Halifax,1
Hertford,1
Hyde,1
Jackson,1
Jones,1
Macon,1
Martin,1
McDowell,1
Mitchell,1
Montgomery,1
Northampton,1
Pasquotank,1
Person,1
Richmond,1
Robeson,1
Scotland,1
Swain,1
Tyrrell,1
Vance,1
Warren,1
Washington,1
Yadkin,1
Yancey,1
Alamance,2
Alexander,2
Avery,2
Burke,2
Catawba,2
Cleveland,2
Craven,2
Cumberland,2
Currituck,2
Dare,2
Davidson,2
Davie,2
Duplin,2
Franklin,2
Gaston,2
Granville,2
Guilford,2
Harnett,2
Hoke,2
Lee,2
Lenoir,2
Madison,2
Nash,2
Onslow,2
Pamlico,2
Perquimans,2
Pitt,2
Polk,2
Randolph,2
Rockingham,2
Rowan,2
Rutherford,2
Sampson,2
Stanly,2
Stokes,2
Surry,2
Transylvania,2
Wayne,2
Wilkes,2
Wilson,2
Brunswick,3
Buncombe,3
Cabarrus,3
Carteret,3
Chatham,3
Durham,3
Forsyth,3
Haywood,3
Henderson,3
Iredell,3
Johnston,3
Lincoln,3
Mecklenburg,3
Moore,3
New Hanover,3
Orange,3
Pender,3
Union,3
Wake,3
Watauga,3
